countrynew,mean_age,mean_gender,mean_edu,mean_religion,mean_own_willingness,mean_own_willigness_less,mean_other_willingness,wtc_own,wtc_other,hdi_2021,gdp_capita_2021,top1pct_income,top1pct_wealth,temp_mean_2010_2019,other_fight_cc,govt_fight_cc
Spain,45.55517459,0.498405432,0.070766965,0.313646506,0.650734386,0.158651087,0.4056901,65.1,40.6,0.905,41501.0917,0.1191,0.2394,14.247,86.5,87.487488
Sri Lanka,38.71376487,0.499446877,0.016677775,0.965132495,0.799415521,0.316138246,0.480939737,79.9,47.4,0.782,15313.4451,0.2011,0.2724,27.436,90.062111,95.233162
Sweden,48.46713089,0.513834852,0.372108588,0.179028489,0.717635113,0.28851275,0.436049064,71.8,43.6,0.947,63381.0565,0.1186,0.2803,3.265,92.269577,85.643074
Switzerland,47.91796524,0.487110969,0.346195166,0.316370928,0.678352234,0.226598596,0.413958819,67.8,41.3,0.962,77551.9646,0.0983,0.311,6.855,90.182182,83.634537
Taiwan,45.00628175,0.509021584,0.312268843,0.4752865,0.624077958,0.166398945,0.304182105,62.4,30.3,NA,59637.4694,0.1929,0.2718,20.365,93.248947,95.768829
Tajikistan,36.30057847,0.503795018,0.140584952,NA,0.779847652,0.138312193,0.514886539,78,50.9,0.685,5656.7359,0.1428,0.2439,4.026,91.401649,95.565407
Tanzania,34.19867041,0.500821269,0.009567169,0.974789236,0.63729825,0.11724882,0.449539034,63.7,45,0.549,5485.8549,0.179,0.2896,23.016,71.03524,83.351234
Thailand,41.40518199,0.470524457,0.166411714,0.82377698,0.583073466,0.150919788,0.468275365,58.3,46.3,0.8,20041.3162,0.1974,0.3386,27.061,90.202019,93.833504
Togo,33.78011584,0.487075514,0.019314113,0.838575794,0.799130818,0.242254467,0.388375786,79.9,38.6,0.539,4092.9848,0.1388,0.2572,27.608,92.872337,97.083336
Tunisia,40.5560056,0.494851899,0.096351116,0.944476247,0.584164327,0.091036329,0.365365812,58.4,36.2,0.731,13778.6344,0.2247,0.3,20.791,65.212265,83.774452
Turkey,39.63171488,0.502009728,0.151378013,0.780619633,0.664409546,0.210616251,0.403094677,66.4,40.4,0.838,33519.1832,0.186,0.2945,12.18,86.203316,92.121849
Uganda,31.3139918,0.482326204,0.007091809,0.966117922,0.745839523,0.378481838,0.381526959,74.6,38.1,0.525,4946.1068,0.2115,0.3018,23.26,88.797531,94.274025
Ukraine,46.91826851,0.443000497,0.154182533,0.552941333,0.594274874,0.184519997,0.325949416,59.4,32.5,0.773,16339.9891,0.0899,0.2452,9.804,83.928574,85.427666
United Arab Emirates,33.1708396,0.703781929,0.415801512,NA,0.817162024,0.223877369,0.540367849,81.7,53.9,0.911,64770.0876,0.1594,0.274,28.53,92.040359,
United Kingdom,47.13807681,0.488357826,0.295408775,0.313546813,0.475902595,0.193808794,0.371691769,47.6,37.2,0.929,50900.9144,0.131,0.2122,9.258,87.362083,83.066132
United States,47.55813125,0.491074493,0.343199291,0.555198321,0.48149445,0.196990612,0.331826571,48.1,33.2,0.921,71123.3394,0.1988,0.3626,9.788,74.322968,68.768768
Uruguay,44.35006872,0.480461154,0.084180143,0.344314508,0.65478475,0.151627421,0.404161728,65.5,40.4,0.809,30893.9606,0.1722,0.4144,18.143,89.539749,90.148308
Uzbekistan,38.11677032,0.478360501,0.099387059,0.795895204,0.916455125,0.135036983,0.630771504,91.6,62.5,0.727,10362.8714,0.1641,0.2537,13.992,95.74015,94.179893
Venezuela,39.74343996,0.501497119,0.198235889,0.758974557,0.849550682,0.284659215,0.455416997,85,45.4,0.691,2915.7459,0.1892,0.3016,25.895,94.689384,96.485939
Vietnam,37.43358102,0.525154493,0.249827748,NA,0.770736219,0.221555234,0.512388949,77.1,49.9,0.703,13478.577,0.1552,0.2563,24.913,91.951714,96.487602
Zambia,32.12624813,0.484276719,0.042764793,0.984128199,0.813970286,0.13174229,0.561840727,81.4,55.2,0.565,5877.4312,0.1849,0.353,22.187,76.076553,85.860893
Zimbabwe,35.27569986,0.483910965,0.037370546,0.952033041,0.720925524,0.199845328,0.417632229,72.1,41.7,0.593,3516.2529,0.1729,0.3129,21.985,59.509201,69.325157
